#,Product Handle,Product Title,Reasons,Tags,Category 1,Category 2,Material
79,brass-031-ring,Brass Assorted Mixed Style Ring Collection 031 Ring,tag:wholesale | tag:kit | title:Assorted | title:Mixed Style,"brass, kit, ring, wholesale",Rings,,Brass
80,brass-031-ring-2,Brass Assorted Mixed Style Ring Collection 031 Ring VK-031-SIZE8,tag:wholesale | tag:kit | title:Assorted | title:Mixed Style | title:VK-SKU,"brass, kit, ring, wholesale",Rings,,Brass
81,brass-031-ring-3,Brass Assorted Mixed Style Ring Collection 031 Ring VK-031-SIZE9,tag:wholesale | tag:kit | title:Assorted | title:Mixed Style | title:VK-SKU,"brass, kit, ring, wholesale",Rings,,Brass
82,brass-032-ring,Brass Assorted Mixed Style Ring Collection 032 Ring,tag:wholesale | tag:kit | title:Assorted | title:Mixed Style,"brass, kit, ring, wholesale",Rings,,Brass
83,brass-032-ring-2,Brass Assorted Ring Collection Set 032,title:Assorted,"brass, ring",Rings,,Brass
84,brass-033-ring,Brass Assorted Ring Collection Set 033,tag:wholesale | tag:kit | title:Assorted,"brass, kit, ring, wholesale",Rings,,Brass
85,brass-035-ring,Brass Assorted Ring Collection Set 035,tag:wholesale | tag:kit | title:Assorted,"brass, kit, ring, wholesale",Rings,,Brass
86,brass-036-ring,Brass Assorted Ring Collection Set 036,tag:wholesale | tag:kit | title:Assorted,"brass, kit, ring, wholesale",Rings,,Brass
87,brass-037-ring,Brass Assorted Ring Collection Set 037,tag:wholesale | tag:kit | title:Assorted,"brass, kit, ring, wholesale",Rings,,Brass
88,brass-038-ring,Brass Assorted Ring Collection Set 038,tag:wholesale | tag:kit | title:Assorted,"brass, kit, ring, wholesale",Rings,,Brass
89,brass-039-ring,Brass Assorted Ring Collection Set 039,tag:wholesale | tag:kit | title:Assorted,"brass, kit, ring, wholesale",Rings,,Brass
90,brass-040-ring,Brass Assorted Ring Collection Set 040,tag:wholesale | tag:kit | title:Assorted,"brass, kit, ring, wholesale",Rings,,Brass
